Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Майкоп	-27	-22	-21	-19	-6	-34	9.0	40	-1	148	2.3	169	3.1	79	72	276	Ю	5.7	3	Республика Адыгея	44.609796	40.100561
Алейск	-44	-42	-41	-38	-23	-46	9.5	164	-11.5	216	-7.8	230	-6.7	80	78	130	ЮЗ	6.8	-	Республика Алтай	NA	NA
Барнаул	-44	-40	-39	-36	-21	-52	9.3	163	-11.1	213	-7.5	230	-6.3	78	75	117	ЮЗ	4	3.4	Республика Алтай	53.348053	83.779875
Беля	-27	-26	-25	-23	-14	-35	5.9	149	-6	223	-2.7	242	-1.7	59	55	121	ЮВ	7	4.5	Республика Алтай	52.189411	87.670002
Бийск-Зональная	-45	-42	-41	-35	-21	-52	11.3	163	-11.3	213	-7.6	229	-6.5	78	75	182	ЮЗ	5	1.9	Республика Алтай	NA	NA
Змеиногорск	-43	-41	-40	-36	-18	-49	11.3	159	-10.2	211	-6.7	227	-5.5	74	69	258	Ю	5.3	2.5	Республика Алтай	51.158122	82.187216
Катанда	-43	-42	-42	-40	-28	-48	12.3	175	-14	237	-9.2	258	-7.8	81	79	81	С	1.8	1.7	Республика Алтай	50.164731	86.177532
Кош-Агач	-46	-44	-44	-42	-34	-55	11.5	191	-17.6	256	-12.0	274	-10.7	81	80	15	В	1.5	1.7	Республика Алтай	49.993685	88.665901
Онгудай	-42	-41	-40	-38	-26	-46	11.1	168	-13	231	-8.3	249	-7.3	79	71	46	З	2.3	9.1	Республика Алтай	50.749395	86.135159
Родино	-44	-42	-41	-38	-23	-49	9.6	165	-11.8	215	-8.1	228	-7.0	80	79	76	ЮЗ	6	4.8	Республика Алтай	NA	NA
Рубцовск	-43	-41	-41	-35	-21	-49	9.5	160	-11.3	206	-7.9	221	-6.7	79	76	98	Ю	7.2	4.3	Республика Алтай	51.501235	81.207774
Славгород	-43	-40	-39	-36	-22	-48	9.2	163	-12.2	206	-8.8	221	-7.6	81	79	94	Ю	5	3.5	Республика Алтай	NA	NA
Тогул	-43	-41	-40	-37	-22	-48	8.6	170	-11	225	-7.3	240	-6.3	79	77	145	ЮЗ	-	-	Республика Алтай	NA	NA
Архара	-41	-38	-38	-36	-30	-50	12.4	167	-17.2	211	-12.7	227	-11.2	77	71	58	СЗ	2.5	2.6	Амурская область	49.422293	130.087102
Белогорск	-43	-40	-41	-37	-32	-48	10.0	174	-16.4	223	-11.9	236	-10.7	76	73	53	СЗ	2.7	2.9	Амурская область	50.921287	128.473881
Благовещенск	-37	-35	-35	-33	-27	-45	10.7	164	-14.9	210	-10.7	225	-9.4	73	65	43	СЗ	2.6	2	Амурская область	50.290658	127.527173
Бомнак	-45	-44	-42	-40	-35	-52	9.9	189	-19.9	240	-14.7	255	-13.3	75	71	49	СВ	2	1.7	Амурская область	54.70895	128.84855
Братолюбовка	-41	-40	-39	-37	-33	-51	11.2	179	-17.1	229	-12.4	242	-11.2	75	72	58	СЗ	-	-	Амурская область	NA	NA
Бысса	-44	-43	-42	-41	-36	-51	14.8	186	-18.4	236	-13.6	252	-12.2	76	69	71	ЮВ	1.3	-	Амурская область	52.405506	130.525588
Гош	-46	-44	-43	-42	-36	-52	15.9	183	-18.9	233	-14.0	247	-12.7	73	66	50	З	1.5	-	Амурская область	NA	NA
Дамбуки	-47	-46	-46	-43	-36	-54	13.6	196	-18.8	244	-14.3	261	-12.8	66	59	57	СЗ	5.2	1.7	Амурская область	54.305015	127.41465
Ерофей Павлович	-43	-42	-40	-38	-33	-51	15.6	195	-17	245	-12.7	262	-11.8	79	71	47	С	-	2	Амурская область	53.959765	121.954573
Завитинск	-41	-39	-38	-36	-32	-50	9.5	176	-16.4	226	-11.8	240	-10.7	79	74	78	СЗ	3.3	-	Амурская область	50.106501	129.439219
Зея	-46	-44	-43	-42	-35	-52	14.7	190	-18.3	238	-13.8	254	-12.4	69	63	35	-	3.5	-	Амурская область	53.734001	127.265809
Норский Склад	-46	-44	-44	-43	-37	-55	15.0	183	-19.2	232	-14.3	246	-13.0	74	68	58	СВ	2.1	1.6	Амурская область	NA	NA
Огорон	-43	-41	-41	-40	-34	-50	10.4	198	-17.6	247	-13.3	265	-11.7	70	64	64	С	3.2	2.5	Амурская область	53.957938	129.147096
Поярково	-43	-40	-39	-37	-32	-50	12.5	173	-16.5	222	-11.9	235	-10.7	76	70	53	З	3.4	-	Амурская область	49.626361	128.657595
Свободный	-44	-42	-41	-39	-33	-52	12.2	179	-17.1	229	-12.4	242	-11.3	70	63	66	СЗ	-	-	Амурская область	51.375889	128.134147
Сковородино	-44	-43	-43	-38	-32	-52	14.9	192	-18.7	245	-13.7	260	-12.4	73	63	66	СЗ	2.8	2.6	Амурская область	53.987134	123.943632
Средняя Нюкжа	-52	-49	-41	-45	-40	-58	13.3	213	-20.8	262	-16.1	278	-14.7	76	72	77	ЮВ	-	-	Амурская область	55.219771	123.380963
Тыган-Уркан	-43	-41	-38	-37	-31	-50	12.8	196	-16.5	245	-12.4	262	-11.0	69	61	52	СЗ	5.2	2.6	Амурская область	NA	NA
Тында	-48	-46	-44	-42	-37	-54	12.5	208	-19.2	258	-14.7	274	-13.3	75	71	62	З	5.3	2.9	Амурская область	55.154676	124.7292
Унаха	-48	-45	-44	-42	-35	-55	16.1	206	-18.4	255	-14.0	271	-12.6	67	59	64	СЗ	-	-	Амурская область	55.129149	126.586592
Усть-Нюкжа	-47	-46	-45	-43	-35	-51	8.1	199	-20.2	252	-15.1	265	-13.9	76	74	31	С	1.7	1	Амурская область	56.558943	121.592786
Черняево	-45	-44	-43	-40	-31	-51	13.0	180	-17.9	229	-13.1	245	-11.7	73	66	38	З	3.7	1.9	Амурская область	NA	NA
Шимановск	-43	-41	-40	-38	-33	-52	13.4	182	-17	233	-12.5	246	-11.3	-	70	60	СЗ	2.3	2.4	Амурская область	51.999543	127.676114
Экимчан	-45	-43	-44	-42	-36	-53	11.0	193	-19.8	249	-14.4	264	-13.1	75	69	65	В	1.6	1.7	Амурская область	53.068764	132.943844
Архангельск	-38	-37	-35	-33	-16	-45	7.6	176	-8.2	250	-4.5	271	-3.5	85	84	174	ЮВ	3.4	2.9	Архангельская область	64.539393	40.516939
Борковская	-49	-47	-44	-42	-23	-55	10.0	203	-10.5	277	-6.6	297	-5.6	83	83	191	ЮЗ	-	2.6	Архангельская область	NA	NA
Емецк	-39	-38	-35	-33	-19	-48	7.6	175	-8.3	249	-4.7	268	-3.7	85	85	150	ЮВ	-	3.9	Архангельская область	63.470667	41.777347
Койнас	-48	-41	-44	-41	-20	-52	8.9	190	-10.1	262	-6.2	281	-5.1	83	83	185	Ю	2	3.1	Архангельская область	64.754164	47.637686
Котлас	-42	-41	-41	-31	-16	-41	7.5	166	-8.9	237	-5.0	257	-3.9	84	-	161	Ю	4.6	2.4	Архангельская область	61.25297	46.633217
Мезень	-40	-40	-38	-35	-17	-49	7.8	194	-8.9	268	-5.3	290	-4.2	84	83	149	Ю	4.5	4.1	Архангельская область	65.839904	44.25314
Онега	-38	-37	-36	-32	-15	-43	7.0	168	-7.5	243	-4.0	264	-2.9	84	84	188	ЮВ	3.7	2.8	Архангельская область	63.90689	38.100273
Астрахань	-25	-24	-23	-21	-10	-33	6.8	103	-3.5	164	-0.8	179	0.1	83	76	73	В	3.8	3.3	Астраханская область	46.347869	48.033574
Верхний Баскунчак	-30	-28	-28	-24	-12	-37	6.4	121	-5.4	174	-2.5	187	-1.7	83	79	110	В	3.7	3.6	Астраханская область	48.225596	46.722007
Белорецк	-39	-37	-37	-34	-21	-45	8.5	171	-10.3	231	-6.5	249	-5.4	79	76	132	ЮЗ	5.6	3.5	Республика Башкортостан	53.967685	58.410032
Дуван	-42	-38	-36	-34	-19	-50	7.9	164	-9.7	224	-6.0	240	-5.0	82	81	121	Ю	3.6	2.9	Республика Башкортостан	55.696509	57.899735
Мелеуз	-42	-39	-38	-35	-20	-45	8.9	158	-9.9	210	-6.4	224	-5.4	80	78	151	Ю	5	3.4	Республика Башкортостан	52.958964	55.92831
Уфа	-41	-38	-38	-33	-18	-49	8.9	155	-9.5	209	-6.0	224	-5.0	82	79	205	Ю	4	3.1	Республика Башкортостан	54.734856	55.957856
Янаул	-43	-40	-39	-34	-18	-51	8.4	162	-9.7	218	-6.1	234	-5.1	82	82	133	Ю	6	3.8	Республика Башкортостан	56.271296	54.933129
Белгород	-29	-28	-27	-23	-13	-35	5.9	126	-5	191	-1.9	209	-1.0	84	84	191	ЮЗ	5.9	5.3	Белгородская область	50.597467	36.588849
Брянск	-30	-27	-26	-24	-12	-42	5.6	131	-5.2	199	-2.0	217	-1.1	84	82	210	Ю	3.4	2.9	Брянская область	53.243325	34.363731
Бабушкин	-33	-31	-30	-29	-19	-39	10.3	175	-9.8	250	-5.5	272	-4.4	78	72	87	З	5.7	3.8	Республика Бурятия	51.711352	105.867364
Баргузин	-46	-43	-42	-41	-30	-52	10.1	183	-16.7	240	-11.7	255	-10.5	79	78	94	З	3.2	1.8	Республика Бурятия	53.616384	109.62975
Багдарин	-46	-44	-44	-42	-34	-51	16.3	205	-18.2	261	-13.4	276	-12.2	76	69	18	СЗ	-	1.4	Республика Бурятия	54.443916	113.592084
Кяхта	-37	-35	-35	-31	-25	-40	9.7	171	-13.1	229	-8.7	245	-7.6	75	68	22	Ю	2.2	1.4	Республика Бурятия	NA	NA
Монды	-38	-36	-36	-33	-25	-48	16.0	198	-12.2	266	-8.1	284	-6.9	65	51	20	З	5.2	2.5	Республика Бурятия	51.674595	100.990949
Нижнеангарск	-35	-35	-32	-32	-26	-47	7.3	194	-14	255	-9.6	271	-8.5	74	71	71	С	1.9	1.8	Республика Бурятия	55.788641	109.579086
Сосново-Озерское	-41	-38	-38	-36	-28	-49	11.2	197	-14.9	258	-10.5	271	-9.5	77	75	18	З	5	3.5	Республика Бурятия	52.525531	111.544986
Уакит	-43	-42	-42	-40	-33	-48	10.4	217	-17.1	274	-12.7	290	-11.4	74	70	26	СЗ	-	-	Республика Бурятия	55.482577	113.63506
Улан-Удэ	-38	-37	-36	-35	-28	-51	9.9	175	-14.8	230	-10.3	246	-9.0	76	70	28	З	2.1	1.9	Республика Бурятия	51.833507	107.584125
Хоринск	-44	-41	-43	-39	-31	-49	12.7	184	-15.4	241	-10.8	257	-9.6	75	72	25	З	-	-	Республика Бурятия	52.161421	109.775098
Владимир	-38	-34	-32	-28	-16	-48	6.3	148	-6.9	213	-3.5	230	-2.6	84	83	194	Ю	4.5	3.4	Владимирская область	56.129042	40.40703
Муром	-39	-35	-33	-30	-16	-45	6.4	150	-7.4	214	-4.0	230	-3.1	84	83	166	Ю	-	4.1	Владимирская область	55.579169	42.052411
Волгоград	-27	-26	-25	-22	-12	-35	5.6	122	-5.1	176	-2.3	190	-1.5	85	82	151	З	5.1	3.9	Волгоградская область	48.707103	44.516939
Камышин	-32	-30	-29	-26	-12	-37	7.1	134	-7.2	188	-4.1	200	-3.3	86	81	220	СВ	8.5	6.4	Волгоградская область	50.083698	45.407349
Костычевка	-32	-30	-29	-26	-	-40	8.1	146	-6.7	190	-3.9	205	-3.1	84	81	109	СВ	-	4.2	Волгоградская область	NA	NA
Котельниково	-32	-29	-27	-24	-12	-38	6.8	112	-4.7	176	-1.6	190	-0.8	85	84	161	В	4.2	4.1	Волгоградская область	47.631528	43.142625
Новоаннинский	-32	-30	-29	-26	-	-38	7.2	139	-5.7	191	-3.4	204	-2.6	82	80	177	ЮВ	-	3.8	Волгоградская область	50.529658	42.66667
Эльтон	-31	-28	-28	-25	-13	-36	6.8	126	-6.1	177	-3.2	191	-2.3	81	78	97	В	5.7	4.7	Волгоградская область	49.127191	46.845112
Бабаево	-40	-36	-36	-31	-17	-41	7.5	158	-7.3	231	-3.8	250	-2.7	86	84	174	ЮЗ	-	3.6	Вологодская область	59.389227	35.937759
Вологда	-42	-37	-37	-32	-15	-47	7.4	157	-7.6	228	-4.0	246	-3.0	85	84	163	Ю	3.9	3.6	Вологодская область	59.220492	39.891568
Вытегра	-40	-36	-35	-32	-14	-49	7.3	154	-7	230	-3.4	250	-2.4	84	84	210	ЮВ	3.5	3	Вологодская область	61.006376	36.449484
Никольск	-42	-38	-38	-35	-16	-49	7.3	162	-8.5	231	-4.7	250	-3.7	84	84	182	Ю	2.6	2.4	Вологодская область	NA	NA
Тотьма	-39	-36	-36	-32	-16	-46	6.9	161	-8.2	232	-4.5	251	-3.4	84	83	188	Ю	3.1	3.2	Вологодская область	59.973487	42.758873
Воронеж	-31	-29	-25	-24	-13	-37	5.9	130	-5.5	190	-2.5	206	-1.6	82	80	201	З	4	3.3	Воронежская область	51.661535	39.200287
Дербент	-16	-13	-11	-9	-3	-19	5.2	0	-	138	3.7	161	4.5	84	82	179	СЗ	5.2	3.1	Республика Дагестан	42.059022	48.290834
Махачкала	-20	-17	-17	-13	-3	-25	5.6	0	-	144	2.7	164	3.5	83	78	140	СЗ	5.1	4.2	Республика Дагестан	42.984913	47.504646
Южно-Сухокумск	-24	-23	-21	-19	-10	-35	6.2	77	-2.5	162	0.8	178	1.6	88	85	99	В	-	4.2	Республика Дагестан	44.660166	45.649966
Иваново	-38	-34	-34	-30	-17	-45	7.1	152	-7.4	219	-3.9	236	-2.9	85	84	209	Ю	4.9	4.2	Ивановская область	57.000348	40.973921
Кинешма	-39	-35	-33	-31	-17	-45	6.4	155	-7.6	221	-4.1	238	-3.2	84	83	268	ЮЗ	-	4.1	Ивановская область	57.442544	42.168923
Алыгджер	-41	-39	-38	-36	-22	-47	11.3	187	-10.8	264	-6.4	284	-5.3	64	59	63	Ю	3.8	-	Иркутская область	53.638411	98.215559
Бодайбо	-51	-49	-49	-46	-34	-55	7.4	198	-19.1	253	-14.1	267	-12.9	78	77	102	СВ	2.3	1.2	Иркутская область	57.852118	114.198968
Братск	-47	-46	-46	-43	-26	-44	8.2	188	-12.7	249	-8.6	266	-7.5	81	78	95	ЮВ	3.4	2.1	Иркутская область	56.151362	101.63408
Верхняя Гутара	-41	-39	-37	-35	-23	-41	13.3	197	-11.9	267	-7.7	285	-6.7	75	65	32	Ю	2.1	0.9	Иркутская область	54.217647	96.976036
Дубровское	-53	-52	-52	-50	-34	-55	9.2	200	-16.9	257	-12.3	272	-11.1	78	76	143	-	-	-	Иркутская область	NA	NA
Ербогачен	-56	-54	-53	-51	-34	-61	10.8	211	-19.9	261	-15.3	274	-14.2	76	76	81	Ю	2	1.5	Иркутская область	61.274698	108.006135
Жигалово	-50	-48	-46	-44	-31	-54	10.7	190	-17.4	249	-12.3	265	-11.0	81	79	56	З	2.4	0.9	Иркутская область	54.808966	105.159743
Зима	-47	-45	-43	-42	-28	-50	11.8	179	-14.4	239	-9.7	257	-8.5	80	76	92	СЗ	4.9	2.1	Иркутская область	53.92072	102.049146
Ика	-55	-53	-51	-50	-32	-60	13.0	208	-18.6	263	-13.8	277	-12.7	75	74	44	Ю	2.7	1.5	Иркутская область	59.311137	106.345115
Илимск	-50	-49	-48	-45	-30	-59	11.8	195	-15.6	255	-11.0	270	-9.8	79	76	109	В	-	1.8	Иркутская область	57.943039	102.741523
Иркутск	-39	-37	-38	-33	-24	-50	9.2	170	-12	232	-7.7	249	-6.6	81	77	70	ЮВ	3	2.2	Иркутская область	52.286387	104.28066
Ичера	-56	-54	-53	-50	-33	-60	11.9	200	-17.5	254	-12.9	270	-11.6	78	76	131	Ю	-	1.6	Иркутская область	58.887532	109.29776
Киренск	-54	-51	-50	-49	-30	-58	11.5	196	-17.5	251	-12.8	264	-11.7	77	77	95	ЮЗ	3.6	1.8	Иркутская область	57.775747	108.110861
Мама	-50	-49	-48	-46	-34	-56	7.4	198	-17.3	255	-12.6	271	-11.3	77	76	179	ЮВ	-	2.7	Иркутская область	58.306136	112.906257
Марково	-53	-51	-51	-49	-33	-55	11.1	194	-16.9	250	-12.3	265	-11.0	78	76	117	З	4.2	1.8	Иркутская область	NA	NA
Наканно	-59	-57	-56	-54	-38	-61	10.7	216	-21.8	266	-16.9	278	-15.8	78	77	94	Ю	3	1.5	Иркутская область	62.90145	108.446463
Невон	-52	-50	-50	-48	-30	-56	11.3	193	-15.8	253	-11.1	269	-9.9	78	76	103	ЮЗ	-	2.1	Иркутская область	58.047664	102.729144
Непа	-55	-52	-51	-50	-33	-58	11.1	206	-17.4	261	-12.9	277	-11.6	78	77	100	ЮВ	-	2	Иркутская область	59.243634	108.231092
Орлинга	-50	-49	-47	-45	-30	-55	10.8	194	-16.8	252	-12.0	267	-10.8	80	77	92	ЮВ	2.6	1.1	Иркутская область	56.048927	105.851625
Перевоз	-51	-50	-48	-46	-29	-56	9.3	202	-17.3	258	-12.6	271	-11.6	72	70	41	СЗ	3.1	1.7	Иркутская область	NA	NA
Преображенка	-55	-53	-51	-50	-34	-60	10.5	207	-17.8	259	-13.3	274	-12.1	78	77	124	-	-	2.6	Иркутская область	NA	NA
Саянск	-43	-40	-42	-39	-25	-50	-10.2	176	-14	234	-9.1	250	7.9	81	77	86	Ю	4.4	2.2	Иркутская область	54.11081	102.180219
Слюдянка	-32	-31	-30	-28	-22	-40	8.8	177	-11	254	-6.4	274	-5.3	76	68	50	ЮЗ	1.5	-	Иркутская область	51.656333	103.718692
Тайшет	-46	-44	-42	-39	-23	-50	10.1	177	-12.3	237	-8.1	253	-7.1	79	77	98	З	3.4	2.4	Иркутская область	55.940513	98.003044
Тулун	-45	-43	-41	-39	-24	-50	10.0	182	-12.8	241	-8.6	257	-7.5	78	73	60	Ю	2.4	1.8	Иркутская область	54.55712	100.578038
Усть-Ордынский	-46	-44	-44	-41	-30	-50	11.1	183	-15.8	243	-10.9	259	-9.6	80	79	46	С	-	3.1	Бурятский АО	52.805034	104.753183
Нальчик	-24	-21	-20	-18	-9	-31	7.0	86	-2.5	168	0.6	187	1.4	86	81	136	ЮЗ	2.5	1.8	Кабардино-Балкарская Республика	43.484605	43.60709
Калининград	-25	-22	-21	-19	-6	-33	4.8	87	-1.6	188	1.2	213	2.1	86	83	306	З	3.6	2.8	Калининградская область	54.70739	20.507307
Элиста	-29	-26	-24	-23	-10	-34	5.7	108	-3.7	169	-1.0	184	-0.1	88	85	121	В	8.5	6.3	Республика Калмыкия	46.308309	44.270181
Калуга	-34	-31	-30	-27	-15	-46	7.3	142	-6.2	210	-2.9	228	-1.9	83	83	213	Ю	4.9	3.9	Калужская область	54.507014	36.252277
Апука	-34	-31	-30	-28	-16	-40	6.4	212	-9.3	286	-5.8	317	-4.3	75	75	185	СВ	8.5	6.2	Корякский АО	60.442644	169.605636
Ича	-30	-28	-27	-26	-16	-36	7.6	184	-8.3	276	-4.1	306	-2.8	77	76	209	СВ	4.2	4.9	Корякский АО	NA	NA
Ключи	-38	-36	-34	-33	-19	-49	7.8	184	-10.5	251	-6.6	270	-5.5	82	82	303	З	3.9	3.5	Камчатская область	NA	NA
Козыревск	-41	-39	-39	-37	-23	-48	12.0	189	-11.3	256	-7.3	276	-6.1	82	81	234	С	-	-	Камчатская область	56.049184	159.868949
Корф	-35	-32	-31	-29	-19	-41	6.9	208	-10.5	270	-7.1	293	-5.8	72	67	147	С	5.8	5	Корякский АО	NA	NA
Лопатка. мыс	-18	-15	-15	-13	-8	-21	3.2	169	-3.4	297	-0.2	365	1.6	85	82	404	СЗ	11.9	9.5	Камчатская область	NA	NA
Мильково	-43	-40	-40	-38	-25	-51	12.8	191	-12.5	256	-8.3	276	-7.0	82	80	291	ЮЗ	-	1.6	Камчатская область	54.695455	158.620003
Начики	-37	-36	-34	-32	-21	-51	15.2	197	-11.9	275	-7.4	296	-6.2	81	75	409	СЗ	2.8	2	Камчатская область	NA	NA
о. Беринга	-15	-13	-12	-11	-7	-24	3.6	156	-2.5	283	0.4	320	1.4	82	82	302	СВ	8.7	7.2	Камчатская область	NA	NA
Оссора	-35	-34	-32	-31	-19	-41	8.9	206	-10.1	272	-6.6	294	-5.5	78	74	401	С	-	-	Корякский АО	59.244356	163.066924
Петропавловск-Камчатский	-22	-20	-19	-18	-10	-32	5.3	160	-4.8	250	-1.7	277	-0.6	67	64	863	С	5	4.8	Камчатская область	53.036996	158.655954
Семлячики	-19	-18	-16	-15	-9	-25	4.3	167	-4.5	260	-1.5	289	-0.4	67	66	541	СЗ	7.5	5.8	Камчатская область	NA	NA
Соболево	-36	-34	-33	-30	-17	-45	12.2	185	-9.3	268	-5.1	297	-3.7	80	75	331	СВ	2.9	3.2	Камчатская область	NA	NA
Кроноки	-26	-22	-23	-20	-13	-36	7.3	179	-5.7	280	-2.2	312	-1.1	69	64	865	С	-	-	Камчатская область	NA	NA
Ука	-39	-37	-36	-34	-21	-43	9.6	210	-10.3	281	-6.7	305	-5.5	82	81	407	С	9.2	-	Камчатская область	NA	NA
Октябрьская	-32	-30	-28	-25	-18	-42	9.2	180	-7.8	281	-3.5	318	-2.0	81	79	-	СВ	6.4	6.8	Камчатская область	NA	NA
Усть-Воямполка	-41	-38	-36	-34	-20	-45	9.4	201	-11.5	286	-6.8	319	-5.2	84	85	117	ЮВ	3.9	4.4	Корякский АО	NA	NA
Усть-Камчатск	-37	-33	-30	-28	-16	-42	8.3	192	-7.6	277	-4.0	305	-2.8	81	80	664	СЗ	7.1	4.9	Камчатская область	56.237817	162.534583
Усть-Хайрюзово	-38	-34	-33	-30	-17	-42	8.9	189	-9.5	273	-5.2	299	-4.0	80	80	162	ЮВ	5.5	4.4	Камчатская область	NA	NA
Черкесск	-23	-21	-20	-18	-9	-29	8.3	85	-2.5	169	0.6	189	1.5	81	73	119	В	-	3.2	Карачаево-Черкесская Республика	44.226863	42.04677
Кемь	-34	-33	-31	-28	-14	-40	7.2	176	-6.9	255	-3.5	277	-2.5	85	82	125	З	4.7	4.5	Республика Карелия	64.952764	34.561881
Лоухи	-38	-36	-34	-31	-17	-47	8.7	184	-7.6	261	-4.2	281	-3.2	86	86	159	ЮЗ	-	3.1	Республика Карелия	66.075515	33.041321
Олонец	-38	-35	-34	-29	-15	-54	8.4	156	-6.7	233	-3.2	255	-2.1	86	86	215	ЮЗ	6.5	4.2	Республика Карелия	60.979326	32.972645
Паданы	-35	-34	-32	-30	-14	-46	7.1	170	-7.1	246	-3.7	266	-2.7	85	85	142	З	4	3.6	Республика Карелия	63.286475	33.415855
Петрозаводск	-35	-33	-31	-28	-14	-43	6.4	158	-6.6	235	-3.2	256	-2.2	86	84	169	З	4.2	3.2	Республика Карелия	61.789036	34.359688
Реболы	-40	-37	-35	-33	-15	-42	7.6	175	-7.6	248	-4.2	267	-3.3	85	84	184	ЮЗ	3.1	2.5	Республика Карелия	63.827792	30.819068
Сортавала	-36	-32	-31	-29	-14	-43	7.5	151	-6	232	-2.5	253	-1.6	85	-	217	Ю	4.3	2.8	Республика Карелия	61.703306	30.691723
Кемерово	-45	-43	-42	-39	-22	-50	9.5	172	-12	227	-8.0	243	-6.9	78	77	94	Ю	3.4	2.9	Кемеровская область	55.354968	86.087314
Киселевск	-45	-42	-40	-39	-22	-50	8.5	169	-11.2	227	-7.3	242	-6.7	78	75	98	ЮЗ	5.5	-	Кемеровская область	54.006025	86.636706
Кондома	-46	-44	-43	-40	-24	-52	13.6	175	-12	236	-7.8	254	-6.6	82	74	315	ЮЗ	3.6	1.5	Кемеровская область	52.814652	87.855486
Мариинск	-47	-43	-44	-40	-23	-55	9.5	176	-11.6	235	-7.7	251	-6.6	80	77	99	ЮЗ	5.7	-	Кемеровская область	56.20925	87.735094
Тайга	-43	-42	-40	-39	-22	-53	9.2	181	-11.9	240	-8.0	257	-6.8	81	79	169	ЮЗ	5.1	3.7	Кемеровская область	56.062258	85.620801
Тисуль	-44	-43	-42	-39	-20	-51	9.9	172	-11	231	-7.1	248	-6.0	74	71	80	ЮЗ	6.6	3.9	Кемеровская область	56.072881	88.685835
Топки	-46	-42	-42	-39	-23	-51	7.7	180	-11.9	235	-8.2	251	-7.1	84	82	256	Ю	-	-	Кемеровская область	55.276508	85.615223
Усть-Кабырза	-46	-44	-43	-41	-27	-54	13.8	182	-13.2	241	-9.0	259	-7.7	80	73	243	З	-	-	Кемеровская область	52.823686	88.444943
Вятка	-39	-37	-35	-33	-19	-45	7.2	168	-9	231	-5.4	247	-4.8	86	82	167	Ю	5.3	3.9	Кировская область	57.372758	50.048774
Нагорское	-42	-38	-36	-34	-20	-47	6.3	174	-9.5	239	-5.8	258	-4.7	87	87	172	Ю	-	4.4	Кировская область	NA	NA
Савали	-40	-37	-37	-33	-19	-48	7.2	162	-9.1	220	-5.7	235	-4.7	82	80	229	ЮЗ	-	4.7	Кировская область	56.536336	50.63487
Вендинга	-46	-44	-40	-39	-21	-52	8.7	183	-9.9	257	-5.9	277	-4.8	83	83	159	Ю	3.8	3.1	Республика Коми	63.459134	47.969407
Воркута	-46	-45	-43	-41	-26	-52	8.6	239	-12.8	306	-9.1	328	-7.8	81	81	178	Ю	10.1	5.8	Республика Коми	67.49741	64.061091
Объячево	-41	-39	-37	-34	-20	-47	7.0	172	-8.9	239	-5.3	259	-4.2	83	83	182	Ю	-	3.8	Республика Коми	60.335007	49.611869
Петрунь	-48	-47	-45	-43	-23	-53	9.4	221	-12.7	285	-8.8	303	-7.8	80	80	154	ЮЗ	5.4	4.3	Республика Коми	66.472032	60.742615
Печора	-50	-48	-46	-43	-23	-55	8.3	205	-11.7	268	-7.9	288	-6.8	80	80	184	ЮВ	4.5	3.6	Республика Коми	65.148602	57.223977
Сыктывкар	-41	-41	-39	-36	-18	-47	7.5	173	-9.6	243	-5.6	263	-4.5	83	82	169	Ю	5	3.5	Республика Коми	61.668695	50.835734
Троицко-Печорск	-46	-46	-43	-41	-21	-51	8.2	188	-11	258	-6.9	277	-5.8	81	80	202	Ю	3.6	2.9	Республика Коми	62.717125	56.161665
Усть-Уса	-46	-44	-43	-41	-21	-53	7.9	213	-11.6	278	-7.9	299	-6.7	83	83	151	Ю	4.2	4.2	Республика Коми	65.9796	56.913034
Усть-Цильма	-45	-44	-41	-39	-20	-52	7.8	202	-10.6	270	-6.9	290	-5.8	82	82	166	В	4.8	4.1	Республика Коми	65.440688	52.154577
Усть-Щугор	-53	-50	-49	-45	-25	-58	10.0	200	-12	268	-7.9	286	-6.8	82	82	198	Ю	5	3.3	Республика Коми	NA	NA
Ухта	-46	-44	-41	-39	-22	-49	7.4	189	-10.4	261	-6.4	280	-5.4	83	83	161	ЮЗ	4.8	4.1	Республика Коми	63.556478	53.701413
Кострома	-40	-35	-34	-31	-17	-46	6.5	154	-7.4	222	-3.9	239	-3.0	85	81	169	Ю	5.8	4.9	Костромская область	57.767683	40.926418
