Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
Чара	-49	-47	-47	-45	-37	-56	12.8	210	-20.8	263	-15.8	276	-14.6	78	76	19	ЮЗ	1.6	1.4	Читинская область	NA	NA
Чита	-41	-39	-39	-38	-29	-47	13.9	182	-16.1	238	-11.3	252	-10.2	76	69	17	В	1.6	2.1	Читинская область	52.033973	113.499432
Порецкое	-39	-33	-32	-30	-15	-45	6.9	150	-7.8	207	-4.5	223	-3.5	84	84	192	Ю	5.6	4.8	Чувашская Республика	55.194398	46.325356
Чебоксары	-40	-36	-35	-32	-18	-44	6.8	156	-8.3	217	-4.9	232	-3.9	84	84	160	Ю	-	5	Чувашская Республика	56.1439	47.248887
Анадырь	-42	-41	-39	-38	-25	-45	7.4	235	-15.5	299	-11.3	322	-9.8	81	80	164	СЗ	6.3	6.7	Чукотский АО (Магаданская область)	NA	NA
Березово	-52	-51	-51	-50	-37	-53	11.6	236	-18.2	296	-13.6	314	-12.3	77	76	113	З	-	2.2	Чукотский АО (Магаданская область)	NA	NA
Марково	-51	-50	-49	-47	-29	-60	9.8	233	-18.7	274	-15.3	290	-13.9	78	77	142	С	4	2.2	Чукотский АО (Магаданская область)	NA	NA
Омолон	-56	-53	-50	-47	-37	-61	9.6	232	-25.2	283	-19.8	299	-18.3	75	74	88	СЗ	4.2	1.6	Чукотский АО (Магаданская область)	NA	NA
Островное	-57	-53	-55	-51	-39	-58	9.2	231	-23.7	278	-19.0	296	-17.3	75	75	71	СЗ	4.5	1.8	Чукотский АО (Магаданская область)	NA	NA
Усть-Олой	-54	-53	-53	-51	-39	-60	7.5	230	-24.6	278	-19.6	295	-17.9	75	73	66	ЮЗ	1.7	1.3	Чукотский АО (Магаданская область)	NA	NA
Эньмувеем	-53	-51	-51	-48	-30	-56	10.1	237	-19.2	283	-15.3	301	-13.9	72	71	95	СЗ	4.6	1.9	Чукотский АО (Магаданская область)	NA	NA
Алдан	-47	-43	-43	-41	-31	-51	8.4	214	-17.7	263	-13.6	276	-12.6	78	76	146	ЮЗ	2.3	2.1	Республика Саха (Якутия)	58.609451	125.381673
Аллах-Юнь	-57	-56	-55	-54	-49	-59	9.2	231	-27	280	-21.4	295	-19.9	75	75	32	С	3.2	0.9	Республика Саха (Якутия)	61.339549	138.141191
Амга	-59	-58	-57	-55	-48	-63	8.9	217	-26.1	259	-21.3	273	-19.7	76	76	58	З	2.5	1.6	Республика Саха (Якутия)	60.900648	131.976807
Батамай	-58	-56	-54	-52	-47	-63	7.9	222	-25.7	265	-20.8	279	-19.4	72	69	53	В	-	2.3	Республика Саха (Якутия)	63.524595	129.419762
Бердигястях	-58	-57	-56	-54	-45	-61	10.7	222	-24.5	268	-19.6	282	-18.1	73	72	56	З	-	1.2	Республика Саха (Якутия)	62.095029	126.69483
Буяга	-57	-55	-55	-52	-43	-61	12.3	218	-23.1	266	-18.2	280	-16.7	74	72	56	-	-	0.9	Республика Саха (Якутия)	NA	NA
Верхоянск	-62	-60	-61	-58	-51	-68	6.0	228	-30.6	272	-25.0	285	-23.4	74	73	35	ЮЗ	1.5	1	Республика Саха (Якутия)	67.550161	133.390702
